wavelength_nm,mua
500,111.83946886266627
501,114.45354928255024
502,117.04384794290189
503,119.6422429477278
504,122.24822702313756
505,124.85370382465699
506,127.45260610337326
507,130.04544113317678
508,132.65698518360895
509,135.3319041123358
510,138.17015313387094
511,141.2372874449914
512,144.40597281468067
513,147.5376554196718
514,150.64179249549048
515,153.75538680683474
516,156.87761217630023
517,159.99901136836112
518,163.11343185711002
519,166.22169981995143
520,169.3492515379197
521,172.56817882687614
522,176.11258553835788
523,180.14788406794415
524,184.40270895170403
525,188.5770170481465
526,192.69283236505018
527,196.83040364383828
528,200.98081141124334
529,205.12229970538084
530,209.27093482458952
531,213.43670842571316
532,217.5674913393945
533,221.6177322189416
534,225.6303118345268
535,229.65655521782514
536,233.69313232965905
537,237.72369894337402
538,241.73450915326174
539,245.72889299849987
540,249.7758859768645
541,253.92944087818185
542,258.1174742018817
543,262.2736309091293
544,266.4805060984284
545,270.7726568451728
546,274.8435379949753
547,278.3853958982711
548,281.4267451545646
549,284.06505512082913
550,286.3373459348447
551,288.2713926348721
552,289.9184390802891
553,291.29775477108103
554,292.2772429485459
555,292.6904000188342
556,292.38446130619394
557,291.37894429379674
558,290.3687561824109
559,289.7881098366143
560,288.3530510586278
561,284.8727877435608
562,280.2473432204362
563,275.6320096578557
564,271.11233914882365
565,266.5227541142063
566,261.7628983619149
567,256.7847462241217
568,251.6843727429995
569,246.59161915899054
570,241.6272907956137
571,236.88294473658038
572,232.34218102329385
573,227.95388626470637
574,223.63605038227334
575,219.3085768127082
576,214.92991974125275
577,210.50944880914514
578,206.22164473307927
579,202.22652961301446
580,198.46118000651444
581,194.82107517525057
582,191.2582507397195
583,187.71715385715626
584,184.05532147292442
585,180.1588182464787
586,176.11472990551079
587,171.86770163479667
588,166.5915953792123
589,159.63857340056674
590,151.84478246830145
591,144.16475462082389
592,136.54257846477375
593,128.76772634758592
594,121.02164901164404
595,113.51036355101576
596,106.14617407155558
597,98.79721832129206
598,91.44868160516283
599,84.34908735378538
600,78.68326394358763
601,75.33261844532227
602,73.02856776123022
603,70.3447741642814
604,67.37387157887282
605,64.4958709637554
606,61.72131976366837
607,58.97018221123833
608,56.169553204653056
609,53.30968943685562
610,50.62636411424961
611,48.30157701755415
612,46.05671771129032
613,43.670487467337
614,41.611444603202735
615,40.312593989379664
