 (nm) ,   (1/cm)   
1008.0,0.364026
1010.0,0.352107
1012.0,0.34023600000000004
1014.0,0.32965
1016.0,0.31910700000000003
1018.0,0.308604
1020.0,0.29567899999999997
1022.0,0.284034
1024.0,0.272435
1026.0,0.262106
1028.0,0.250594
1030.0,0.239127
1033.0,0.229917
1035.0,0.21975999999999998
1037.0,0.210853
1039.0,0.201981
1041.0,0.19435
1043.0,0.186749
1046.0,0.179005
1048.0,0.171469
1050.0,0.166355
1052.0,0.16126
1054.0,0.156185
1057.0,0.152176
1059.0,0.149515
1061.0,0.14568
1063.0,0.144224
1066.0,0.14263900000000002
1068.0,0.14119500000000001
1070.0,0.140931
1073.0,0.140537
1075.0,0.14144500000000002
1077.0,0.143516
1080.0,0.144281
1082.0,0.147498
1084.0,0.151863
1087.0,0.156068
1089.0,0.160397
1091.0,0.16586199999999998
1094.0,0.171151
1096.0,0.17771800000000001
1098.0,0.18655
1101.0,0.19289
1103.0,0.200515
1106.0,0.207925
1108.0,0.21662199999999998
1111.0,0.225086
1113.0,0.23371399999999998
1116.0,0.23533800000000002
1118.0,0.245033
1121.0,0.257829
1123.0,0.271917
1126.0,0.289049
1128.0,0.316387
1131.0,0.353325
1133.0,0.403721
1136.0,0.471239
1139.0,0.557157
1141.0,0.651997
1144.0,0.7535430000000001
1146.0,0.8596889999999999
1149.0,0.949313
1152.0,1.040653
1154.0,1.0998299999999999
1157.0,1.140423
1160.0,1.169972
1162.0,1.1895879999999999
1165.0,1.197311
1168.0,1.2049940000000001
1171.0,1.212639
1173.0,1.231997
1176.0,1.2288540000000001
1179.0,1.236386
1182.0,1.2438790000000002
1184.0,1.252392
1187.0,1.2598129999999998
1190.0,1.267197
1193.0,1.2745440000000001
1196.0,1.281854
1199.0,1.278646
1201.0,1.266054
1204.0,1.273336
1207.0,1.25976
1210.0,1.256637
1213.0,1.243169
1216.0,1.240102
1219.0,1.216433
1222.0,1.213447
1225.0,1.200217
1228.0,1.197284
1231.0,1.184158
1234.0,1.171096
1237.0,1.158097
1240.0,1.1552950000000002
1243.0,1.1423969999999999
1246.0,1.129561
1250.0,1.115894
1253.0,1.103193
1256.0,1.100558
1259.0,1.097935
1262.0,1.085368
1265.0,1.082794
1269.0,1.079381
1272.0,1.086714
1275.0,1.103869
1278.0,1.111111
1282.0,1.137051
1285.0,1.163734
1288.0,1.180536
1292.0,1.2157870000000002
1295.0,1.251785
1298.0,1.297299
1302.0,1.351223
1305.0,1.415522
1308.0,1.489134
1312.0,1.580374
1315.0,1.6723310000000002
1319.0,1.7911130000000002
1322.0,1.910621
1326.0,2.0470099999999998
1329.0,2.2031330000000002
1333.0,2.356784
1336.0,2.539611
1340.0,2.700832
1344.0,2.8891430000000002
1347.0,3.097279
1351.0,3.236933
1355.0,3.394311
1358.0,3.553377
1362.0,3.72747
1366.0,3.955739
1369.0,4.222447
1373.0,4.640313
1377.0,5.183514
1381.0,5.987451999999999
1385.0,7.204114
1388.0,8.781972999999999
1392.0,11.013629
1396.0,13.952631
1400.0,16.964599
1404.0,19.690893
1408.0,22.312447
1412.0,24.652156
1416.0,26.357428999999996
1420.0,27.699111
1424.0,29.121503999999998
1428.0,30.271928000000003
1432.0,31.064909000000004
1437.0,32.006203
1440.0,32.201322999999995
1445.0,32.524722
1449.0,32.69511
1453.0,32.778075
1457.0,32.688087
1462.0,32.404388
1466.0,31.544503000000002
1470.0,30.603813
1474.0,29.668228000000003
1479.0,28.208484000000002
1484.0,26.927936
1488.0,25.75768
1492.0,24.08835
1497.0,22.916627
1501.0,21.599757
1506.0,20.443298000000002
1510.0,19.224049
1515.0,18.082301
1519.0,17.04195
1524.0,16.079017
1529.0,15.368942
1533.0,14.591088000000001
1538.0,13.8083
1543.0,12.786261
1548.0,12.176715
1552.0,11.659519
1557.0,10.976405
1562.0,10.458567
1567.0,9.944032
1572.0,9.51271
1577.0,9.163808
1582.0,8.817112
1587.0,8.4726
1592.0,8.130252
1597.0,7.868735000000001
1602.0,7.608851
1607.0,7.381863
1612.0,7.19526
1618.0,6.989946000000001
1623.0,6.805816
1628.0,6.661411
1634.0,6.49083
1640.0,6.356022
1644.0,6.2678970000000005
1650.0,6.161329
1655.0,6.0515989999999995
1661.0,5.9843459999999995
1666.0,5.9211290000000005
1672.0,5.877333
1677.0,5.837330000000001
1683.0,5.838919000000001
1689.0,5.833057
1690.0,5.852931
1700.0,5.89141
1706.0,5.922251999999999
1710.0,6.0115989999999995
1718.0,6.136894
1724.0,6.2758959999999995
1730.0,6.442989
1740.0,6.652358
1742.0,6.9179960000000005
1748.0,7.260889
1754.0,7.594271000000001
1760.0,7.925381
1770.0,8.396555000000001
1773.0,8.717786
1779.0,8.970933
1785.0,9.151978
1792.0,9.186353
1798.0,9.155698
1805.0,9.259431
1810.0,9.159364
1818.0,9.193219000000001
1824.0,9.231873
1831.0,9.402472
1838.0,9.708511999999999
1845.0,10.08034
1851.0,11.133899000000001
1860.0,12.782798
1865.0,15.76692
1872.0,21.548102
1879.0,31.767034000000002
1890.0,48.680532
1894.0,72.983142
1901.0,98.494957
1908.0,117.23343100000001
1920.0,128.616633
1923.0,134.61633999999998
1930.0,136.732523
1940.0,135.01058700000002
1945.0,130.509344
1953.0,123.54035
1960.0,115.40543899999999
1968.0,107.27389
1976.0,99.208184
1984.0,91.20752399999999
1992.0,83.90196800000001
2000.0,77.283175
2008.0,70.717122
2016.0,65.449844
2024.0,60.162117
2032.0,55.410765000000005
2040.0,51.189478
2050.0,47.652853
2057.0,43.98535
2066.0,40.448384000000004
2074.0,37.565812
2083.0,34.990373
2092.0,32.617298999999996
2100.0,30.458486999999998
2118.0,26.936412
2127.0,25.52267
2136.0,24.297335
2145.0,23.199451999999997
2155.0,22.333734
2164.0,21.660148
2173.0,21.049971
2183.0,20.665720999999998
2193.0,20.284975
2202.0,20.144998
2212.0,20.053926999999998
2222.0,20.133338000000002
2232.0,20.380941
2242.0,20.738433999999998
2252.0,21.204354000000002
2262.0,21.943926
2272.0,22.787608
2283.0,23.888763
2293.0,25.209464
2304.0,26.670810999999997
2314.0,28.456257
2325.0,30.483581
2336.0,32.653196
2347.0,36.14103
2358.0,37.890963
2369.0,40.844681
2381.0,44.069378
2392.0,47.544167
2403.0,51.457795000000004
2415.0,55.677083999999994
2427.0,60.579533999999995
2439.0,65.433743
2451.0,71.778531
2463.0,79.592112
2475.0,86.822193
2487.0,94.48778399999999
2500.0,100.53096
