wavelength_nm,mua
500,112.21902184874027
501,111.23422578534843
502,110.41560907310034
503,110.04607670743029
504,109.45922132287986
505,108.11509101476433
506,106.92886808238623
507,106.81088165485328
508,107.19691397650632
509,107.36129119518573
510,107.40706195749645
511,107.59957284715377
512,108.02463969754919
513,108.69608187191407
514,109.51926360316278
515,110.55418602430504
516,112.58785299904953
517,116.23222887013365
518,120.67211716571146
519,125.04760553887361
520,129.74707895704125
521,135.33082224675212
522,141.79842235668048
523,149.02015860723108
524,156.9097776835946
525,165.36931979395465
526,174.21053187368173
527,183.31568431215987
528,192.93943458764065
529,203.31345919960103
530,214.2051236435521
531,225.149354414358
532,235.21563300826116
533,243.7356916796128
534,251.5557107138219
535,259.49068083428017
536,266.7163864852542
537,272.3887917484879
538,277.2237855347617
539,281.90083861698446
540,285.39382438754205
541,286.58478509447394
542,285.6940357889565
543,283.20088945459867
544,279.28237800160394
545,274.01035640338694
546,267.3382529596127
547,259.2713069680794
548,250.1404283928678
549,240.39157731655197
550,230.6052436293957
551,221.3104085956554
552,212.6954891678677
553,204.79435664509208
554,197.3632640241986
555,190.36014741084017
556,184.82729364799022
557,181.56920174927782
558,179.35486867363443
559,176.91175615503755
560,174.83668708234623
561,174.04705080050857
562,174.87314132394664
563,177.46249921177287
564,181.81874653238634
565,187.90268711237925
566,195.64777030182998
567,204.92198004905592
568,215.35879317184498
569,226.59803125667972
570,238.53940209535034
571,251.05005936932318
572,263.6070541134611
573,275.51511832222536
574,285.779810475075
575,293.4123006943097
576,297.7453791885957
577,298.0955201812824
578,293.3923138680855
579,283.02439112538616
580,268.6034295798596
581,251.78149862603067
582,232.14918797952737
583,209.39993547214502
584,185.70005107924524
585,163.33607048172294
586,142.60256003904075
587,123.38804960016162
588,105.94889229348323
589,90.55985123865402
590,77.20150624089177
591,65.77029033144728
592,56.12023276013496
593,48.04827562961744
594,41.16541623538691
595,35.19170040187213
596,30.469312876418844
597,27.168262868038774
598,24.14771850949065
599,20.449257542846663
600,17.154937223685742
601,15.373691957848871
602,14.281485238718389
603,12.88015817557495
604,11.408033253751022
605,10.306377443060764
606,9.591754275193296
607,9.157987890617342
608,8.832648303045199
609,8.467025354986541
610,8.073542330897105
611,7.692482591263397
612,7.31443635874901
613,6.92698034889821
614,6.555330386600916
615,6.228195553570187
616,5.950618849465993
617,5.716683753775063
618,5.500301747344244
619,5.277130526136918
620,5.049984645222492
621,4.825653319377471
622,4.5996675431007406
623,4.369212761322893
624,4.14935044097899
625,3.9563436069114313
626,3.793385493587511
627,3.6572086534134542
628,3.5317727009263034
629,3.4020903823174793
630,3.270159908265096
631,3.140227644890824
632,3.008547115603889
633,2.873120109726176
634,2.7469343229426806
635,2.6439219758207457
636,2.566807482093981
637,2.5127888900539537
638,2.468166593057788
639,2.4200304333953073
640,2.369525704021594
641,2.3201662676029606
642,2.270884814985401
643,2.2205360532138343
644,2.172243925949208
645,2.1294881553926097
646,2.092902341289661
647,2.0617749530264944
648,2.0328600610067604
649,2.003111652437757
650,1.9728177807238612
651,1.942811962414343
652,1.912775500440961
653,1.8824203413993366
654,1.8527332201580604
655,1.824568925573615
656,1.7969796741810822
657,1.7695148229001125
658,1.745514862510025
659,1.7278038977345767
660,1.713349355215614
661,1.6985426982796992
662,1.6833282150741642
663,1.6683260659100805
664,1.6533070749327134
665,1.6380589081006114
666,1.6232859347912638
667,1.6097534226476455
668,1.5975535289557352
669,1.5865179761262846
670,1.5761098574261276
671,1.565700923781046
672,1.5546661858965207
673,1.5427384128233574
674,1.531078147213953
675,1.5208464701510653
676,1.5117788428373065
677,1.503518860302639
678,1.4967682727665814
679,1.4920596649206426
680,1.4881908041547387
681,1.4839238484611104
682,1.479613335542896
683,1.475657360327818
684,1.4710358669310528
685,1.465394317649463
686,1.46245839831921
687,1.4653925319780783
688,1.4710358669310526
689,1.475662717341972
690,1.479613335542896
691,1.4839042060758776
692,1.488190804154739
693,1.4921328774474205
694,1.4967682727665814
695,1.50324565258076
696,1.5117788428373067
697,1.5221341344059245
698,1.533222514366914
699,1.5440260190905637
700,1.5546661858965212
701,1.565427890022126
702,1.576109857426128
703,1.5865905507888804
704,1.5975535289557354
705,1.609736157756183
706,1.6232859347912638
707,1.6380553930038662
708,1.6533070749327134
709,1.6683573911885248
710,1.6833282150741642
711,1.6984209122626683
712,1.7133493552156138
713,1.7279916706301353
714,1.7433704953570641
715,1.7605760946171838
716,1.7798247369573965
717,1.8008979232092308
718,1.8227120800166108
719,1.8442468011502748
720,1.865599423075825
721,1.887049381466978
722,1.9084867661350395
723,1.9298142406144063
724,1.9513741091942536
725,1.973544327957396
726,1.996405819406429
727,2.0198843251462963
728,2.0435818967715647
729,2.0671495658855172
730,2.090757974136701
731,2.1145370240364296
732,2.137934051501837
733,2.1607784148843745
734,2.185110128866972
735,2.213090132897217
736,2.2451524091498722
737,2.280865218306729
738,2.3180608923505366
739,2.3546971737418114
740,2.390969375551202
741,2.427436890431238
742,2.4638778587518657
743,2.500096967442439
744,2.5367863419525296
745,2.57470393370043
746,2.6139835594591156
747,2.6544691855672577
748,2.695469511271624
749,2.736314628011
750,2.7769554630841307
751,2.817547225456005
752,2.8584414148966375
753,2.899687104107282
754,2.9399273667091443
755,2.977738519355732
756,3.0128358499098096
757,3.0455041011736923
758,3.077166864498632
759,3.10918103559834
760,3.141497879087453
761,3.173765987191199
762,3.205828893676274
763,3.2377353339280424
764,3.270159908265095
765,3.303795174708977
766,3.3387796571598383
767,3.374974847087327
768,3.4116881403605035
769,3.4482449212909794
770,3.4845966235611674
771,3.520899759513768
