wavelength_nm,muafat_cm-1
600.0,0.00466
601.0,0.004710000000000001
602.0,0.004789999999999999
603.0,0.00487
604.0,0.00487
605.0,0.00484
606.0,0.0048
607.0,0.004750000000000001
608.0,0.004700000000000001
609.0,0.004690000000000001
610.0,0.004640000000000001
611.0,0.004579999999999999
612.0,0.004539999999999999
613.0,0.00442
614.0,0.00427
615.0,0.004220000000000001
616.0,0.004229999999999999
617.0,0.0043
618.0,0.0043700000000000015
619.0,0.00435
620.0,0.004300000000000001
621.0,0.00425
622.0,0.0043300000000000005
623.0,0.004399999999999999
624.0,0.004379999999999999
625.0,0.00432
626.0,0.004259999999999999
627.0,0.00424
628.0,0.00426
629.0,0.00428
630.0,0.00428
631.0,0.0042899999999999995
632.0,0.0043700000000000015
633.0,0.00444
634.0,0.0044
635.0,0.00431
636.0,0.0042
637.0,0.004220000000000001
638.0,0.00433
639.0,0.00446
640.0,0.0045200000000000014
641.0,0.0045000000000000005
642.0,0.00449
643.0,0.004529999999999999
644.0,0.0046
645.0,0.0046500000000000005
646.0,0.004640000000000001
647.0,0.00464
648.0,0.004640000000000001
649.0,0.0046500000000000005
650.0,0.004710000000000001
651.0,0.00472
652.0,0.0046700000000000005
653.0,0.004640000000000001
654.0,0.004569999999999999
655.0,0.004479999999999999
656.0,0.004379999999999999
657.0,0.00428
658.0,0.00424
659.0,0.004220000000000001
660.0,0.00418
661.0,0.00414
662.0,0.00413
663.0,0.00414
664.0,0.00419
665.0,0.004280000000000001
666.0,0.004389999999999999
667.0,0.00447
668.0,0.004520000000000001
669.0,0.004529999999999999
670.0,0.0045000000000000005
671.0,0.004520000000000001
672.0,0.00457
673.0,0.00462
674.0,0.0046300000000000004
675.0,0.004570000000000001
676.0,0.00446
677.0,0.00433
678.0,0.004220000000000001
679.0,0.00413
680.0,0.004060000000000001
681.0,0.00398
682.0,0.0038699999999999997
683.0,0.00375
684.0,0.0037
685.0,0.0036899999999999997
686.0,0.00366
687.0,0.003609999999999999
688.0,0.00354
689.0,0.0034799999999999996
690.0,0.0034200000000000003
691.0,0.0033799999999999993
692.0,0.00335
693.0,0.003310000000000001
694.0,0.00328
695.0,0.00324
696.0,0.00321
697.0,0.0032400000000000007
698.0,0.0032700000000000003
699.0,0.0032500000000000003
700.0,0.0032300000000000002
701.0,0.0031999999999999997
702.0,0.0031899999999999997
703.0,0.0032200000000000006
704.0,0.0032600000000000007
705.0,0.0032300000000000002
706.0,0.0031800000000000005
707.0,0.0031299999999999995
708.0,0.0030999999999999995
709.0,0.00311
710.0,0.0031499999999999996
711.0,0.0032000000000000006
712.0,0.0032099999999999993
713.0,0.0031999999999999997
714.0,0.0032099999999999997
715.0,0.00326
716.0,0.0033399999999999992
717.0,0.00343
718.0,0.00351
719.0,0.0035799999999999994
720.0,0.0036700000000000005
721.0,0.0037600000000000003
722.0,0.0038299999999999996
723.0,0.0039000000000000007
724.0,0.0040100000000000005
725.0,0.004149999999999999
726.0,0.0043
727.0,0.00447
728.0,0.00463
729.0,0.0048
730.0,0.00499
731.0,0.0051600000000000005
732.0,0.0053500000000000015
733.0,0.005519999999999999
734.0,0.005639999999999998
735.0,0.00576
736.0,0.005889999999999999
737.0,0.005999999999999999
738.0,0.006159999999999999
739.0,0.006359999999999999
740.0,0.006540000000000001
741.0,0.0068000000000000005
742.0,0.007070000000000002
743.0,0.007349999999999999
744.0,0.007680000000000001
745.0,0.00801
746.0,0.008369999999999997
747.0,0.008740000000000001
748.0,0.009079999999999998
749.0,0.009409999999999998
750.0,0.009720000000000001
751.0,0.010010000000000002
752.0,0.0103
753.0,0.01059
754.0,0.01089
755.0,0.011200000000000002
756.0,0.01155
757.0,0.011899999999999997
758.0,0.01227
759.0,0.012579999999999997
760.0,0.01278
761.0,0.012890000000000002
762.0,0.012899999999999998
763.0,0.012729999999999998
764.0,0.012490000000000001
765.0,0.01206
766.0,0.011530000000000002
767.0,0.010890000000000002
768.0,0.01021
769.0,0.009480000000000002
770.0,0.00871
771.0,0.00793
772.0,0.007190000000000002
773.0,0.006530000000000001
774.0,0.005959999999999999
775.0,0.005529999999999999
776.0,0.00515
777.0,0.00481
778.0,0.00451
779.0,0.00426
780.0,0.00409
781.0,0.00391
782.0,0.0037799999999999986
783.0,0.00366
784.0,0.0035999999999999995
785.0,0.00357
786.0,0.00355
787.0,0.0035299999999999993
788.0,0.00349
789.0,0.0034600000000000004
790.0,0.0034600000000000004
791.0,0.0034700000000000004
792.0,0.00347
793.0,0.003470000000000001
794.0,0.003520000000000001
795.0,0.0035900000000000003
796.0,0.0036899999999999997
797.0,0.00379
798.0,0.0038699999999999997
799.0,0.00393
800.0,0.00403
801.0,0.00413
802.0,0.004240000000000001
803.0,0.00434
804.0,0.00442
805.0,0.004539999999999999
806.0,0.004669999999999999
807.0,0.004820000000000001
808.0,0.0049700000000000005
809.0,0.00511
810.0,0.00527
811.0,0.00547
812.0,0.005670000000000001
813.0,0.00583
814.0,0.005940000000000001
815.0,0.00603
816.0,0.006149999999999999
817.0,0.0063300000000000006
818.0,0.006540000000000001
819.0,0.0067399999999999995
820.0,0.006909999999999999
821.0,0.0070799999999999995
822.0,0.00724
823.0,0.0074
824.0,0.007579999999999999
825.0,0.007750000000000002
826.0,0.007859999999999999
827.0,0.00796
828.0,0.00799
829.0,0.00802
830.0,0.008029999999999999
831.0,0.008029999999999999
832.0,0.00801
833.0,0.007940000000000001
834.0,0.007850000000000001
835.0,0.007749999999999999
836.0,0.00764
837.0,0.00757
838.0,0.0075099999999999984
