wavelength_nm,mua
300.0,3721.589226966895
301.0,3680.575948199926
302.0,3640.1484411514434
303.0,3600.2964412564397
304.0,3561.009896863227
305.0,3522.2789641360955
306.0,3484.094002096207
307.0,3446.445567796528
308.0,3409.3244116267747
309.0,3372.721472744439
310.0,3336.6278746281355
311.0,3301.0349207495933
312.0,3265.934090360778
313.0,3231.3170343927045
314.0,3197.1755714626543
315.0,3163.501683986583
316.0,3130.2875143936294
317.0,3097.525361439737
318.0,3065.20767661748
319.0,3033.3270606593
320.0,3001.8762601314315
321.0,2970.848164115904
322.0,2940.235800978056
323.0,2910.032335217119
324.0,2880.2310643974843
325.0,2850.8254161583322
326.0,2821.808945299407
327.0,2793.1753309407572
328.0,2764.918373754357
329.0,2737.0319932655702
330.0,2709.510225222488
331.0,2682.3472190312436
332.0,2655.537235255443
333.0,2629.0746431779335
334.0,2602.9539184231644
335.0,2577.16964063847
336.0,2551.7164912326325
337.0,2526.5892511701527
338.0,2501.782798819692
339.0,2477.2921078552
340.0,2453.112245208293
341.0,2429.2383690704755
342.0,2405.6657269438556
343.0,2382.389653739045
344.0,2359.4055699189557
345.0,2336.708979687263
346.0,2314.2954692203416
347.0,2292.1607049414984
348.0,2270.300431836371
349.0,2248.7104718084106
350.0,2227.386722073366
351.0,2206.325153591746
352.0,2185.5218095382543
353.0,2164.972803807225
354.0,2144.6743195531058
355.0,2124.622607765082
356.0,2104.813985874939
357.0,2085.2448363973026
358.0,2065.9116056014177
359.0,2046.810802213644
360.0,2027.9389961498769
361.0,2009.2928172771246
362.0,1990.8689542034908
363.0,1972.6641530958318
364.0,1954.6752165243904
365.0,1936.8990023337078
366.0,1919.3324225391525
367.0,1901.9724422484194
368.0,1884.8160786073588
369.0,1867.8603997695309
370.0,1851.1025238888851
371.0,1834.5396181349872
372.0,1818.1688977302247
373.0,1801.9876250084524
374.0,1785.9931084945326
375.0,1770.1827020042651
376.0,1754.5538037641888
377.0,1739.1038555507776
378.0,1723.8303418485425
379.0,1708.730789026584
380.0,1693.8027645331397
381.0,1679.0438761076848
382.0,1664.4517710101659
383.0,1650.0241352669448
384.0,1635.7586929330487
385.0,1621.6532053703386
386.0,1607.705470541204
387.0,1593.9133223174167
388.0,1580.2746298037775
389.0,1566.7872966762031
390.0,1553.4492605339087
391.0,1540.2584922653507
392.0,1527.2129954276018
393.0,1514.3108056388446
394.0,1501.5499899836684
395.0,1488.9286464308707
396.0,1476.4449032634727
397.0,1464.0969185206532
398.0,1451.8828794513354
399.0,1439.8010019791423
400.0,1427.8495301784646
401.0,1416.0267357613814
402.0,1404.3309175751783
403.0,1392.760401110225
404.0,1381.3135380179706
405.0,1369.9887056388218
406.0,1358.7843065396808
407.0,1347.6987680609243
408.0,1336.7305418725975
409.0,1325.8781035396328
410.0,1315.1399520958648
411.0,1304.514609626664
412.0,1294.0006208599787
413.0,1283.596552765605
414.0,1273.3009941624982
415.0,1263.1125553339405
416.0,1253.0298676503967
417.0,1243.0515831998812
418.0,1233.1763744256687
